COUNTRY,YEAR,NOIP,GNIPC
Czechia,1995,-679.3056633,13850
Czechia,1996,-784.1880342,14560
Czechia,1997,-844.9416342,14690
Czechia,1998,-1322.06527,14840
Czechia,1999,-1644.13228,15210
Czechia,2000,-2042.199863,16020
Czechia,2001,-2536.747459,17210
Czechia,2002,-3632.776638,17690
Czechia,2003,-4195.823983,18950
Czechia,2004,-5213.819316,20000
Czechia,2005,-5549.805447,21090
Czechia,2006,-7260.941291,22430
Czechia,2007,-10045.56007,24570
Czechia,2008,-9697.725959,26230
Czechia,2009,-10653.68007,25800
Czechia,2010,-10854.45336,25970
Czechia,2011,-10228.18216,26910
Czechia,2012,-11337.67964,27640
Czechia,2013,-10794.21558,29110
Czechia,2014,-9820.005705,30570
Czechia,2015,-9315.564424,31590
Czechia,2016,-9725.503228,33740
Czechia,2017,-11728.48876,36850
Czechia,2018,-11680.91762,39260
Czechia,2019,-11956.32402,42790
Czechia,2020,-13645.21327,42530
Czechia,2021,-13768.49302,46400
Czechia,2022,-13635.5289,50790
Estonia,1995,-417.7563661,6270
Estonia,1996,-497.5609756,6810
Estonia,1997,-663.617171,7600
Estonia,1998,-1150.956768,8210
Estonia,1999,-1555.555556,8190
Estonia,2000,-1707.945598,9070
Estonia,2001,-1951.729107,9810
Estonia,2002,-2577.229877,11050
Estonia,2003,-4364.697301,12370
Estonia,2004,-6330.154072,13720
Estonia,2005,-6863.468635,15870
Estonia,2006,-6429.101707,18270
Estonia,2007,-7250.559284,20480
Estonia,2008,-6734.48018,21610
Estonia,2009,-7175.280899,19860
Estonia,2010,-7517.655898,20450
Estonia,2011,-8700.075358,23400
Estonia,2012,-9728.647014,25160
Estonia,2013,-11345.22003,27170
Estonia,2014,-11140.03044,28610
Estonia,2015,-9763.498099,29080
Estonia,2016,-10085.86626,31280
Estonia,2017,-12217.16021,33710
Estonia,2018,-12860.81694,36370
Estonia,2019,-13513.18764,39800
Estonia,2020,-17127.81955,40090
Estonia,2021,-17504.5045,43220
Estonia,2022,-16465.18519,47080
Hungary,1995,-1068.100358,8820
Hungary,1996,-1263.54106,8950
Hungary,1997,-1685.086098,9250
Hungary,1998,-1945.864222,9780
Hungary,1999,-2185.518591,10190
Hungary,2000,-2118.535963,11190
Hungary,2001,-2513.327432,12460
Hungary,2002,-3265.141053,13720
Hungary,2003,-4282.71837,14610
Hungary,2004,-5322.625421,15270
Hungary,2005,-5120.703358,16030
Hungary,2006,-6500.995025,17230
